frame,time,distance,speed
0,0.0,1.030804648316376,0.2031364544131864
1,0.03333333333333333,1.0240334331692698,0.2031364544131864
2,0.06666666666666667,1.0216727466103572,0.07082059676737584
3,0.1,1.020137816443249,0.04604790501324452
4,0.13333333333333333,1.0177839745764576,0.07061525600374319
5,0.16666666666666666,1.0186052421236615,0.02463802641611723
6,0.2,1.0162001764911823,0.07215196897437659
7,0.23333333333333334,1.0153443671255995,0.025674280967484808
8,0.26666666666666666,1.014540099883478,0.024128017263647106
9,0.3,1.0167488342773012,0.06626203181469892
10,0.3333333333333333,1.0192930540923921,0.07632659445272694
11,0.36666666666666664,1.0217127323466555,0.07259034762790106
12,0.4,1.0221146271993866,0.01205684558193365
13,0.43333333333333335,1.0209543404596342,0.03480860219257309
14,0.4666666666666667,1.0190829697979393,0.05614111985084547
15,0.5,1.0184842343341154,0.017962063914718218
16,0.5333333333333333,1.024440740104143,0.17869517310083127
17,0.5666666666666667,1.0128348801435514,0.3481757988177514
18,0.6,1.01434946724896,0.04543761316225581
19,0.6333333333333333,1.011711140876148,0.07914979118435417
20,0.6666666666666666,1.0054605998669073,0.18751623027722486
21,0.7,1.000310494336081,0.15450316592478863
22,0.7333333333333333,1.0,0.009314830082429726
23,0.7666666666666667,1.0079371686552194,0.23811505965658286
24,0.8,1.0169745181026348,0.2711204834224623
25,0.8333333333333334,1.0187485986288778,0.05322241578728848
26,0.8666666666666667,1.0177635678432035,0.029550923570227372
27,0.9,1.016854783744181,0.027263522970675247
28,0.9333333333333333,1.0179006208645127,0.03137511360995049
29,0.9666666666666667,1.0135209093087527,0.13139134667280006
30,1.0,1.0173676899523836,0.11540341930892595
31,1.0333333333333334,1.0276666275829442,0.30896812891682
32,1.0666666666666667,1.0291747838613365,0.04524468835176876
33,1.1,1.0289082865694947,0.007994918755254155
34,1.1333333333333333,1.035209510136209,0.18903670700143094
35,1.1666666666666667,1.0363300339901043,0.033615715616854835
36,1.2,1.0354768988298155,0.025594054808661948
37,1.2333333333333334,1.0372143363763773,0.05212312639685246
38,1.2666666666666666,1.038182876229406,0.029056195590864142
39,1.3,1.037491689668281,0.020735596833749703
40,1.3333333333333333,1.0378713631484513,0.011390204405106186
41,1.3666666666666667,1.0427317312700015,0.14581104364650654
42,1.4,1.0435494650459243,0.02453201327768273
43,1.4333333333333333,1.047756722196009,0.12621771450253894
44,1.4666666666666666,1.0482877111257225,0.015929667891407817
45,1.5,1.0475424037431742,0.022359221476448976
46,1.5333333333333334,1.0582695962500765,0.3218157752070705
47,1.5666666666666667,1.0739936686916238,0.4717221732464183
48,1.6,1.0811216355592388,0.21383900602844896
49,1.6333333333333333,1.1010970895382193,0.5992636193694145
50,1.6666666666666667,1.1081631039831938,0.211980433349237
51,1.7,1.1131029342049035,0.14819490665128887
52,1.7333333333333334,1.1250654822144495,0.35887644028637977
53,1.7666666666666666,1.1356475354126065,0.31746159594471246
54,1.8,1.1397263670370323,0.12236494873277382
55,1.8333333333333333,1.1493500359951216,0.2887100687426791
56,1.8666666666666667,1.1562329628848003,0.2064878066903586
57,1.9,1.161516619501432,0.1585096984989498
58,1.9333333333333333,1.1668855641654707,0.16106833992116432
59,1.9666666666666666,1.1881466105036862,0.6378313901464638
60,2.0,1.192030002291221,0.11650175362604154
61,2.033333333333333,1.19669031438817,0.1398093629084718
62,2.066666666666667,1.2006572432553597,0.11900786601569235
63,2.1,1.2071292657673294,0.19416067535908965
64,2.1333333333333333,1.2173258513738459,0.3058975681954945
65,2.1666666666666665,1.2264475019595718,0.2736495175717768
66,2.2,1.23854659361799,0.3629727497525481
67,2.2333333333333334,1.2469890278948583,0.25327302830604914
68,2.2666666666666666,1.2615776136671757,0.4376575731695209
69,2.3,1.2706820729331554,0.27313377797939076
70,2.3333333333333335,1.2805366786198338,0.2956381706003519
71,2.3666666666666667,1.2867204600040603,0.1855134415267945
72,2.4,1.2965966821835306,0.2962866653841112
73,2.433333333333333,1.3032828321336711,0.2005844985042149
74,2.466666666666667,1.313249467920695,0.2989990736107151
75,2.5,1.3197882341397897,0.19616298657284315
76,2.533333333333333,1.31801778289216,0.05311353742889269
77,2.566666666666667,1.3247133721502722,0.200867677743366
78,2.6,1.3332961226156237,0.2574825139605452
79,2.6333333333333333,1.3341772255062772,0.02643308671960387
80,2.6666666666666665,1.3442489830299706,0.30215272571080476
81,2.7,1.3500870437905255,0.1751418228166446
82,2.7333333333333334,1.3553036542601475,0.15649831408866222
83,2.7666666666666666,1.3628307621857565,0.22581323776826867
84,2.8,1.3666779885302698,0.11541679033539864
85,2.8333333333333335,1.3689152636984494,0.0671182550453886
86,2.8666666666666667,1.3701074021333985,0.035764153048474245
87,2.9,1.3718751473399569,0.0530323561967494
88,2.933333333333333,1.3732000887199443,0.039748241399621964
89,2.966666666666667,1.3779481402191531,0.14244154497626615
90,3.0,1.3825706950842154,0.13867664595186735
91,3.033333333333333,1.3865582216993233,0.11962579845323784
92,3.066666666666667,1.3905752759978838,0.12051162895681422
93,3.1,1.3908457209261116,0.008113347846834262
94,3.1333333333333333,1.3912438909928977,0.01194510200358323
95,3.1666666666666665,1.3957323535639405,0.13465387713128552
96,3.2,1.3959185291896352,0.005585268770840202
97,3.2333333333333334,1.3987330347540674,0.08443516693296571
98,3.2666666666666666,1.40121657557761,0.07450622470627888
99,3.3,1.4013838248336954,0.005017477682560667
100,3.3333333333333335,1.3999565791833302,0.042817369510956826
101,3.3666666666666667,1.4036860927412487,0.1118854067375552
102,3.4,1.405725301620909,0.061176266389810774
103,3.433333333333333,1.406874620935379,0.03447957943410129
104,3.466666666666667,1.4087146970279805,0.055202282778041845
105,3.5,1.407324938005395,0.04169277067756605
106,3.533333333333333,1.411120956502109,0.11388055490142213
107,3.566666666666667,1.41089202542749,0.006867932238572294
108,3.6,1.4106912212621223,0.006024124961028221
109,3.6333333333333333,1.411064129639615,0.011187251324777936
110,3.6666666666666665,1.4107030004997263,0.010833874196658488
111,3.7,1.4187182304809038,0.24045689943532622
112,3.7333333333333334,1.4228173255775862,0.12297285290047144
113,3.7666666666666666,1.4239307659710305,0.03340321180332895
114,3.8,1.4237378411605466,0.005787744314518228
115,3.8333333333333335,1.4249065007097308,0.03505978647552643
116,3.8666666666666667,1.4260823551445871,0.03527563304569048
117,3.9,1.4271853056494084,0.033088515144636954
118,3.933333333333333,1.428802053764197,0.04850244344365873
119,3.966666666666667,1.4297269626844258,0.027747267606863524
120,4.0,1.4316708552468274,0.05831677687204717
121,4.033333333333333,1.4339018269311001,0.06692915052818327
122,4.066666666666666,1.4357467738976297,0.05534840899588778
123,4.1,1.4381255750138302,0.07136403348601439
124,4.133333333333334,1.4407149220432545,0.07768041088272781
125,4.166666666666667,1.442258670720677,0.04631246032267722
126,4.2,1.4427057246235189,0.013411617085254957
127,4.233333333333333,1.4443723275655713,0.04999808826157359
128,4.266666666666667,1.4479906546712429,0.10854981317014678
129,4.3,1.4482291205611655,0.007153976697678033
130,4.333333333333333,1.4499940323835436,0.05294735467134437
131,4.366666666666666,1.4506546088447876,0.019817293837318672
132,4.4,1.4532537931293998,0.07797552853836764
133,4.433333333333334,1.4552658620089056,0.060362066385173385
134,4.466666666666667,1.4545053848784706,0.022814313913051
135,4.5,1.4560901221191764,0.047542117221175406
