frame,hand_label,landmark_id,x,y,z,x_world,y_world,z_world
19,Left,0,0.6757528185844421,0.44535714387893677,-1.472767507948447e-07,0.0012596659362316132,0.08452530950307846,0.050102703273296356
19,Left,1,0.6424310803413391,0.4288620948791504,-0.011362665332853794,-0.02270442619919777,0.060739897191524506,0.031355176120996475
19,Left,2,0.620750367641449,0.39319688081741333,-0.021415244787931442,-0.03499898314476013,0.04231416434049606,0.014624709263443947
19,Left,3,0.6097097396850586,0.36644288897514343,-0.03285064175724983,-0.04576198756694794,0.02449256181716919,-0.014151486568152905
19,Left,4,0.5915632247924805,0.3482361435890198,-0.044027410447597504,-0.0581090934574604,0.004293731413781643,-0.03103325143456459
19,Left,5,0.6429644823074341,0.3256683945655823,-0.012324455194175243,-0.023448338732123375,-0.008389677852392197,0.006827558856457472
19,Left,6,0.6433225870132446,0.2754477560520172,-0.028862932696938515,-0.022220291197299957,-0.037995968014001846,0.001353542786091566
19,Left,7,0.6408681869506836,0.24663874506950378,-0.039234668016433716,-0.02422930672764778,-0.05877726897597313,-0.006128148641437292
19,Left,8,0.6382595300674438,0.22579725086688995,-0.045943427830934525,-0.029388705268502235,-0.07661382108926773,-0.03249761462211609
19,Left,9,0.6685338020324707,0.3331145942211151,-0.017541872337460518,-0.0033234867732971907,-0.006337613798677921,0.004753510933369398
19,Left,10,0.6669682264328003,0.30935177206993103,-0.04173917695879936,-0.005352535750716925,-0.019523074850440025,-0.027555814012885094
19,Left,11,0.6588308215141296,0.33733129501342773,-0.04909682646393776,-0.01768229901790619,-0.0013997002970427275,-0.040640443563461304
19,Left,12,0.6550112962722778,0.3617178797721863,-0.048414476215839386,-0.019562451168894768,0.016116350889205933,-0.032500822097063065
19,Left,13,0.6918554902076721,0.34804993867874146,-0.024363771080970764,0.015558765269815922,0.0032585274893790483,-0.004063511732965708
19,Left,14,0.6895540952682495,0.33540257811546326,-0.04609033465385437,0.009478145278990269,0.0025289796758443117,-0.033019233494997025
19,Left,15,0.679610550403595,0.3635016083717346,-0.0406479574739933,-0.0006791399791836739,0.019552288576960564,-0.038368839770555496
19,Left,16,0.6753765344619751,0.3831269145011902,-0.03157949447631836,-0.0016114357858896255,0.03571071848273277,-0.024623094126582146
19,Left,17,0.7123163938522339,0.3684370219707489,-0.03234821930527687,0.024309614673256874,0.02486760914325714,-0.009966189041733742
19,Left,18,0.7107210755348206,0.3584752678871155,-0.04289863258600235,0.02457660250365734,0.018034376204013824,-0.02688516676425934
