frame,hand_label,landmark_id,x,y,z,x_world,y_world,z_world
0,Left,0,0.5990455746650696,0.408700168132782,4.807037257137381e-08,0.008395811542868614,0.025071419775485992,0.09365826845169067
0,Left,1,0.5360924601554871,0.4120487570762634,-0.0291469544172287,-0.019708067178726196,0.023239199072122574,0.06054544448852539
0,Left,2,0.48386114835739136,0.4097304046154022,-0.05952833592891693,-0.03724876791238785,0.02055268920958042,0.041248172521591187
0,Left,3,0.4425410330295563,0.41560596227645874,-0.08892051875591278,-0.06417161971330643,0.021064992994070053,0.0064500123262405396
0,Left,4,0.4036577045917511,0.4210566282272339,-0.12132986634969711,-0.0842362716794014,0.0187824759632349,-0.011963948607444763
0,Left,5,0.5342208743095398,0.37306860089302063,-0.06035166233778,-0.02325580269098282,-0.005695043131709099,-0.0020447298884391785
0,Left,6,0.5317628979682922,0.34955766797065735,-0.08825085312128067,-0.021673474460840225,-0.01870070956647396,-0.016487764194607735
0,Left,7,0.5246016383171082,0.34047743678092957,-0.11059030145406723,-0.03015175834298134,-0.029497429728507996,-0.033903542906045914
0,Left,8,0.514473557472229,0.3330153822898865,-0.12621141970157623,-0.03610400855541229,-0.031955309212207794,-0.05697346106171608
0,Left,9,0.5826703906059265,0.37477970123291016,-0.0659821480512619,-0.003808992449194193,-0.004319506697356701,0.00028319552075117826
0,Left,10,0.5888864398002625,0.34705719351768494,-0.08474432677030563,0.001118137501180172,-0.024882249534130096,-0.026520900428295135
0,Left,11,0.5863784551620483,0.33429116010665894,-0.09925184398889542,-0.010309391655027866,-0.02875024452805519,-0.0560576505959034
0,Left,12,0.5827618837356567,0.32316479086875916,-0.11380397528409958,-0.01598644070327282,-0.03822514787316322,-0.08099742978811264
0,Left,13,0.6251041889190674,0.38457390666007996,-0.073272705078125,0.017258096486330032,0.0024990246165543795,0.0003628674603533
0,Left,14,0.6366742253303528,0.35906827449798584,-0.09312374889850616,0.015659959986805916,-0.011361945420503616,-0.023049363866448402
0,Left,15,0.6396978497505188,0.3477504551410675,-0.10273178666830063,0.015599353238940239,-0.018162468448281288,-0.04985291138291359
0,Left,16,0.6371847987174988,0.33545470237731934,-0.11229266226291656,0.012653600424528122,-0.0278696920722723,-0.08086177706718445
0,Left,17,0.6609882712364197,0.3988957405090332,-0.08280259370803833,0.026090454310178757,0.01562611572444439,0.007039254065603018
0,Left,18,0.6832212209701538,0.37811920046806335,-0.10028009861707687,0.03751958906650543,-0.001549755223095417,-0.005683402065187693
0,Left,19,0.6893939971923828,0.36954668164253235,-0.10258374363183975,0.04006224870681763,-0.011043519712984562,-0.023172520101070404
0,Left,20,0.6859921813011169,0.36042046546936035,-0.10602773725986481,0.03043406456708908,-0.01606191135942936,-0.05315028503537178
1,Left,0,0.6028130650520325,0.41544777154922485,1.1083642448284081e-07,0.009110362268984318,0.027375133708119392,0.0869109183549881
1,Left,1,0.5380154252052307,0.4175029397010803,-0.02591177448630333,-0.019053509458899498,0.023507213220000267,0.06008944660425186
1,Left,2,0.4847371578216553,0.4130861163139343,-0.05438440665602684,-0.0382525771856308,0.020954322069883347,0.040365442633628845
1,Left,3,0.4424789249897003,0.4204523265361786,-0.08210231363773346,-0.06291428208351135,0.01881207339465618,0.013277287594974041
