frame,is_valid,distance_4_8
0,0,
1,0,
2,0,
3,0,
4,0,
5,0,
6,0,
7,0,
8,0,
9,0,
10,0,
11,0,
12,0,
13,0,
14,0,
15,0,
16,0,
17,0,
18,0,
19,1,0.13104131935139313
20,1,0.12840942105017433
21,1,0.11771980251369002
22,1,0.11001470827494769
23,1,0.09948383926558887
24,1,0.09080483624564802
25,1,0.07802309431329957
26,1,0.035143965649569
27,1,0.06067470253091487
28,1,0.0179067036326356
29,1,0.004334253696588059
30,1,0.03192255912330295
31,1,0.06550974059651034
32,1,0.0832122512079436
33,1,0.09106957904826224
34,1,0.08734985928245531
35,1,0.06485975064186328
36,1,0.013260202520946585
37,1,0.019057960020047407
38,1,0.016814072778083042
39,1,0.036554311733505755
40,1,0.06390615575850417
41,1,0.07807838942914842
42,1,0.08898701703352298
43,1,0.09218411501187841
44,1,0.08228197715180934
45,1,0.06284054387183749
46,1,0.022589399201803907
47,1,0.05144223979219489
48,1,0.0074261621455136385
49,1,0.04547847733239658
50,1,0.06812112712696239
51,1,0.08322201425809728
52,1,0.08731120772629765
53,1,0.07588464340074436
54,1,0.0126633746208928
55,1,0.04039178825447495
56,1,0.0047116987484833225
57,1,0.013945019792079212
58,1,0.05975386205638417
59,1,0.08021986237365666
60,1,0.09295762919941729
61,1,0.09419143730471646
62,1,0.0826507621191354
63,1,0.01757782549731258
64,1,0.012398478622097456
65,1,0.006733243085746924
66,1,0.0038874882660006956
67,1,0.052660366795507944
68,1,0.07947901262385729
69,1,0.08704203109914616
70,1,0.08642416965677258
71,1,0.0822814402750031
72,1,0.05902265980392931
73,1,0.021323021368917214
74,1,0.027111872760263462
75,1,0.0015790350465504132
76,1,0.055234153774240735
77,1,0.06551925389587712
78,1,0.08353636467960197
79,1,0.08681231961703728
80,1,0.08406697843628305
81,1,0.07170992753190825
82,1,0.0079217681475657
83,1,0.002535945696155403
84,1,0.038084928139342236
85,1,0.0032296866714647586
86,1,0.05689751658261047
87,1,0.07845966642953808
88,1,0.08846869092430748
89,1,0.08633193136629333
90,1,0.07196078696191291
91,1,0.018836121967833346
92,1,0.018461425499287747
93,1,0.025925043522493436
94,1,0.02186854282047597
95,1,0.0679887176264545
96,1,0.08567983832982945
97,1,0.0943043647930435
98,1,0.09766536992004986
99,1,0.10134638432714889
100,1,0.08937775651033779
101,1,0.012485847726723405
102,1,0.004121503442744989
103,1,0.0043205758383690705
104,1,0.0016790520279780425
105,1,0.047831340863990886
106,1,0.08126886445761453
107,1,0.09491620198756026
108,1,0.09612709662389149
109,1,0.09136653349285659
110,1,0.07090266987853375
111,1,0.012101846917508131
112,1,0.014880254312694496
113,1,0.009507231766420286
114,1,0.00614885412095125
115,1,0.05483995396354147
116,1,0.07699627894915528
117,1,0.08681557563654195
118,1,0.08943067470102098
119,1,0.08979293635474203
120,1,0.08334511739622734
121,1,0.07002982832673875
122,1,0.0611860593219865
123,1,0.05821840475882259
124,1,0.05192078842237867
125,1,0.0494757523132115
126,1,0.06155338578024801
127,1,0.07507568426485403
128,1,0.08135288334515237
129,1,0.08321958657261184
130,1,0.08909378849785751
131,1,0.09345975968111633
132,1,0.08638291964973767
133,1,0.029692807091190515
134,1,0.011262455585848501
135,1,0.01696285395720817
136,1,0.016360964083229405
137,1,0.02625654981008076
138,1,0.07820179363353136
139,1,0.09187479003024582
140,1,0.09295483493655149
141,1,0.08523108678669525
142,1,0.04382815946808203
143,1,0.00800471476611482
144,1,0.010410255748955738
145,1,0.004820642295901712
146,1,0.04243286600842869
147,1,0.08134990052042539
148,1,0.09348716797285443
149,1,0.08906167281581191
150,1,0.07641001437361332
151,1,0.04860054345318794
152,1,0.010907624077295877
153,1,0.006152621899796077
154,1,0.006414478816249272
155,1,0.021387882851303726
156,1,0.06852508513180214
157,1,0.08607267849231921
158,1,0.09210686999260075
159,1,0.0901510674306141
160,1,0.08121426180723458
161,1,0.016738658740434138
162,1,0.0011722466464142822
163,1,0.0061289456068204535
164,1,0.01382486575825427
165,1,0.057153880964399655
166,1,0.07956202720540911
167,1,0.09015401298211316
168,1,0.08037300140473791
169,1,0.054630142574653234
170,1,0.011289048431522912
171,1,0.011580646812723522
172,1,0.010503252612291987
173,1,0.021235537021424045
174,1,0.06726083559278531
175,1,0.08493877728333812
176,1,0.0857028209959067
177,1,0.07594224425202006
178,1,0.06427122397989553
179,1,0.029822176274900677
180,1,0.006697778339061445
181,1,0.004748009325372672
182,1,0.007539640269390276
183,1,0.04984953816774721
184,1,0.077188521011323
185,1,0.08131734850734976
186,1,0.07128760187419161
187,1,0.025252166477586508
188,1,0.014186002738510697
