frame,is_valid,polygon_area_0_1_4_8_12_16_20
0,1,0.015346410677213207
1,1,0.015716135594959546
2,1,0.0152122940026711
3,1,0.01482699450679792
4,1,0.014324714653985104
5,1,0.011911170578140617
6,1,0.011086414605415595
7,1,0.011326920148012398
8,1,0.011928599851179555
9,1,0.009404307978107873
10,1,0.005627089507581506
11,1,0.0010382241176665197
12,1,0.0018165461449553
13,1,0.002034874641732465
14,1,0.001471735194934709
15,1,0.0015026317725310712
16,1,0.0023109300838157765
17,1,0.002317001640062877
18,1,0.0031306185911752493
19,1,0.0022387681169107054
20,1,0.002499912805709492
21,1,0.0011056093748161855
22,1,0.001260116157455471
23,1,0.0002618193967252047
24,1,0.0005905655339355498
25,1,0.0003069659420811277
26,1,0.000449471152942138
27,1,0.0001817641081806043
28,1,0.0003760834219166398
29,1,9.155133399041393e-05
30,1,0.0009002515746105999
31,1,0.002361333721373704
32,1,0.005981339869600255
33,1,0.004672501430972531
34,1,0.001159880741004926
35,1,0.007992721346024911
36,1,0.01873641528166692
37,1,0.01847989795463567
38,1,0.025564797475951195
39,1,0.026223905842093664
40,1,0.027992081877762587
41,1,0.029647800075325748
42,1,0.029292064581313504
43,1,0.02722107728134615
44,1,0.026547934893268454
45,1,0.02117200677730846
46,1,0.004777075771507988
47,1,0.0008640305294527195
48,1,0.0017329442949938212
49,1,0.0006320173418945529
50,1,0.0007594367054596374
51,1,0.0005655232266943422
52,1,0.0003006949160465622
53,1,0.0010497199827685932
54,1,0.0007274210134280423
55,1,0.000799575487247961
56,1,0.000322289545633514
57,1,0.0004282468878161749
58,1,0.00025056630041531136
59,1,0.0012004749038787565
60,1,0.0008696275023369893
61,1,0.001515558739839662
62,1,0.0027109930343760524
63,1,0.00423213425295188
64,1,0.016426142075484762
65,1,0.020110604419721678
66,1,0.025427721087154076
67,1,0.03027922207187128
68,1,0.029722776023620057
69,1,0.03148387410930109
70,1,0.031089989743777302
71,1,0.02620472432458676
72,1,0.024873724668304287
73,1,0.023723965530878743
74,1,0.009050879795800881
75,1,0.0009661062695053291
76,1,0.0007602336973525636
77,1,0.000846331759119856
78,1,0.002233313570809803
79,1,0.0010729808764748938
80,1,0.0017397643217432757
81,1,0.0018293004650149491
82,1,0.0019258660988906717
83,1,0.002240675634293865
84,1,0.0013235261586928004
85,1,0.001104996975839434
86,1,0.0015546696447598096
87,1,0.001022855655445909
88,1,0.0001608755134698825
89,1,0.0007208486154876015
90,1,0.0007887883864636791
91,1,0.005277278552192399
92,1,0.000601392979997506
93,1,0.013380822561034567
94,1,0.021517966645415054
95,1,0.027018433335817438
96,1,0.029518861543087915
97,1,0.029731283066711356
98,1,0.03225263988510507
99,1,0.03177951993742045
100,1,0.030712739075460682
101,1,0.028727760830024263
102,1,0.021551377946295247
103,1,0.01154118067459553
104,1,0.0029265293128899472
105,1,0.0008295873042989399
106,1,0.0025181467991806095
107,1,0.0020956920517640754
108,1,0.002520468475947779
109,1,0.002976295415788144
110,1,0.0030191814784052973
111,1,0.0019137580886470218
112,1,0.0016816980465845788
113,1,0.001242606469025187
114,1,0.0006170460975551961
115,1,0.00017803848487663032
116,1,6.7850555307558125e-06
117,1,0.0008350316683065628
118,1,0.00017364665445640526
119,1,0.0023085773224567063
120,1,0.009413651591724914
121,1,0.001361351554728607
122,1,0.004751539875027966
123,1,0.017277118220221155
124,1,0.021141706011954753
125,1,0.02236059914289179
126,1,0.023876601474022596
127,1,0.02488317551311736
128,1,0.023762017810378566
129,1,0.02326882498927585
130,1,0.023176097815631902
131,1,0.02251025057339906
132,1,0.021811219537635207
133,1,0.02120707444008918
134,1,0.006785839064822774
135,1,0.009661100272960965
136,1,0.0004933229307129139
137,1,0.002505803518404015
138,1,0.0007652871745031931
139,1,2.4106910954557748e-05
140,1,0.0014211710547722411
141,1,0.0006377875223373408
142,1,0.00040742755307698886
143,1,0.0011856839250583562
144,1,0.0007926938700585362
145,1,0.0017400272953160822
146,1,0.0011534336603428175
147,1,0.001585988705299357
148,1,0.0007468267217651814
149,1,0.0007696312209950484
150,1,0.0038767736469313974
151,1,0.0007529361471307894
152,1,0.011679557446031552
153,1,0.021528780834974004
154,1,0.024890052735133672
155,1,0.02253167781119103
156,1,0.024306910269133564
157,1,0.02288457253392462
158,1,0.025337849768599874
159,1,0.02497321496736271
160,1,0.024561926230540987
161,1,0.025197185997081206
162,1,0.02368881883414886
163,1,0.018868611741206576
164,1,0.002596197122527677
165,1,0.0007585838085057972
166,1,0.001097601007399085
167,1,8.931287034297242e-05
168,1,0.000144691104319139
169,1,7.21797687184278e-05
170,1,0.0004156054276442944
171,1,0.00020307704847244423
172,1,0.00045639478631365193
173,1,0.0017708009379879819
174,1,0.0010117230985722259
175,1,0.0021491417723398243
176,1,0.0027315087654410375
177,1,0.002773045711768951
178,1,0.0011241634606911077
179,1,0.005120504573675966
180,1,0.00112555264674441
181,1,0.019795362697502372
182,1,0.0220996284182694
183,1,0.01877410216833919
184,1,0.017046712864125624
185,1,0.023604626720976185
186,1,0.02391278840446187
187,1,0.022760237080547085
188,1,0.022226408769275174
189,1,0.02180031217847045
190,1,0.021917708051991447
191,1,0.02101497766905691
192,1,0.016352749911840547
193,1,0.0008117344069930033
194,1,0.001162826186202004
195,1,0.0021993208520427743
196,1,0.0006265598391657079
197,1,0.00017058360191846145
198,1,6.826993431907624e-05
199,1,0.0006654523352479513
200,1,0.0007816193390394188
201,1,0.0008535846590773666
202,1,0.0005966850332103091
203,1,0.0011502644696115283
204,1,0.00211545091417209
205,1,0.002482559804220408
206,1,0.002681049247911016
207,1,0.0020163291277386364
208,1,0.0018079494160860854
209,1,0.0015023796465172268
210,1,0.002967593867446716
211,1,0.0019286291618875184
212,1,0.012309488373234423
213,1,0.019301756950967253
214,1,0.023909661872259846
215,1,0.01815382896285289
216,1,0.02576455738498673
217,1,0.026913508669244024
218,1,0.023717762230971218
219,1,0.023579200378361698
220,1,0.02255882611950133
221,1,0.021732898202868167
222,1,0.0017189146178799852
223,1,0.0008972489875294087
224,1,0.0028265279201074023
225,1,0.0010236008623794035
226,1,0.001526927726169025
227,1,0.0002501199775748475
228,1,0.0002455521463469168
229,1,0.0006741972216453007
230,1,0.0003837582413734886
231,1,0.0005260769309902713
232,1,0.00030353583869047185
233,1,0.0002905590138276848
234,1,4.181653618440251e-05
235,1,0.0002916567874824416
236,1,0.0006072776839296523
237,1,5.157022473634143e-05
238,1,0.0009680390441563214
239,1,0.0010834076716057517
240,1,0.005359210804893877
241,1,0.0007230673780789232
242,1,0.010133153764044778
243,1,0.01840765350713358
244,1,0.01988860846438545
245,1,0.025748964101020455
246,1,0.026692837071269904
247,1,0.02758568845645204
248,1,0.026611121067324994
249,1,0.026302821966705636
250,1,0.02697332488056947
251,1,0.02758229855353722
252,1,0.025177357351244933
253,1,0.009947934450414753
254,1,0.005808060345574351
255,1,0.001413206136035683
256,1,0.0012293901668485319
257,1,0.0009936161042150005
258,1,0.0011223292025595022
259,1,0.0014488479407345212
260,1,0.0015674804651383267
261,1,0.0018416794460186514
262,1,0.0020731650963484727
263,1,0.0007874014439580579
264,1,0.000862404913807957
265,1,0.0001979624505829003
266,1,0.00028823783613640686
267,1,0.00094653212228335
268,1,0.000715282366207326
269,1,0.0019117458171198365
270,1,0.0016516382871412105
271,1,0.0004775983735467726
272,1,0.0012649463430376429
273,1,0.011222262560754648
274,1,0.002742113013929237
275,1,0.00723668320053239
276,1,0.024545845317506032
277,1,0.025221905632700548
278,1,0.024233293673411982
